case,mesh,region,window_index,window_radius_mm,center_x_mm,center_y_mm,sampled_volume_mm3,sample_count,mean_vm_mpa,vm_of_mean_tensor_mpa
shaped_rotor,0.013,weighted_hub,1,5.0,-27.271780286589287,-12.5,1135.0621117865296,40,26.870809433689576,26.061321838794054
shaped_rotor,0.013,weighted_hub,2,5.0,-27.271780286589287,12.5,1088.5775003164374,40,26.855416028292336,26.11005704322462
shaped_rotor,0.013,weighted_hub,3,5.0,27.271780286589287,-12.5,1125.5005504412936,36,26.97595746255,25.956178607902803
shaped_rotor,0.013,weighted_hub,4,5.0,27.271780286589287,12.5,872.8610733847433,37,27.03352533663801,25.995876889145272
shaped_rotor,0.013,weighted_hub,1,10.0,-27.271780286589287,-12.5,4114.276874634349,140,22.576110476420983,21.624971184968107
shaped_rotor,0.013,weighted_hub,2,10.0,-27.271780286589287,12.5,4241.123976496986,142,22.698655633566965,21.769510966193515
shaped_rotor,0.013,weighted_hub,3,10.0,27.271780286589287,-12.5,3869.034696354617,127,22.651257960292845,21.68596422032359
shaped_rotor,0.013,weighted_hub,4,10.0,27.271780286589287,12.5,4286.383052750019,143,23.167206248338474,22.225868975606982
shaped_rotor,0.013,inner_insert_boss,1,5.0,-156.77095883552354,-12.5,1278.3118543258797,36,23.85260143709679,23.07591177145111
shaped_rotor,0.013,inner_insert_boss,2,5.0,-156.77095883552354,12.5,1009.1799908311884,27,23.842541857876032,23.190093777587844
shaped_rotor,0.013,inner_insert_boss,3,5.0,156.77095883552354,-12.5,1188.279966409962,34,24.122546990984873,23.13362807615511
shaped_rotor,0.013,inner_insert_boss,4,5.0,156.77095883552354,12.5,1318.4353755688967,32,23.962614326774805,23.054484105155993
shaped_rotor,0.013,inner_insert_boss,1,10.0,-156.77095883552354,-12.5,4145.48117035538,114,20.680289326371593,19.714490913412583
shaped_rotor,0.013,inner_insert_boss,2,10.0,-156.77095883552354,12.5,4360.2078027256475,97,19.9396106326465,19.119623593693174
shaped_rotor,0.013,inner_insert_boss,3,10.0,156.77095883552354,-12.5,4182.888328432433,107,20.274783556934942,19.352392127484677
shaped_rotor,0.013,inner_insert_boss,4,10.0,156.77095883552354,12.5,4341.937077690049,96,20.46113764782741,19.54868388703375
shaped_rotor,0.013,unweighted_hub,1,5.0,-12.5,-27.271780286589287,1111.5858726274184,44,3.630117141167726,3.5971635232398933
shaped_rotor,0.013,unweighted_hub,2,5.0,-12.5,27.271780286589287,1202.2539593148413,39,3.4761431067904676,3.4224353385007373
shaped_rotor,0.013,unweighted_hub,3,5.0,12.5,-27.271780286589287,1073.0696794298071,42,3.3806300769949913,3.3239347105858794
shaped_rotor,0.013,unweighted_hub,4,5.0,12.5,27.271780286589287,947.6372774358259,33,3.7534917251407287,3.7114941275558357
shaped_rotor,0.013,unweighted_hub,1,10.0,-12.5,-27.271780286589287,4202.342008629206,149,4.5417313791929415,4.287920694575958
shaped_rotor,0.013,unweighted_hub,2,10.0,-12.5,27.271780286589287,4235.469323064084,126,4.663650423923024,4.385699037144012
shaped_rotor,0.013,unweighted_hub,3,10.0,12.5,-27.271780286589287,4268.97429115961,177,4.736411007845999,4.465073804590918
shaped_rotor,0.013,unweighted_hub,4,10.0,12.5,27.271780286589287,4242.586882265724,142,4.443187171051037,4.201079871945866
shaped_rotor,0.013,unweighted_rim,1,5.0,-12.5,-214.63632031881278,1613.6076829969682,27,4.039829227197548,3.9210818443915563
shaped_rotor,0.013,unweighted_rim,2,5.0,-12.5,214.63632031881278,1693.8879638377564,28,4.080656078453438,3.967905994508663
shaped_rotor,0.013,unweighted_rim,3,5.0,12.5,-214.63632031881278,1598.325959129971,25,3.9752642690182314,3.860718681993317
shaped_rotor,0.013,unweighted_rim,4,5.0,12.5,214.63632031881278,1588.204350555145,25,3.96982614049857,3.8545066017236356
shaped_rotor,0.013,unweighted_rim,1,10.0,-12.5,-214.63632031881278,4173.275953134246,66,3.8957497772595517,3.720809264298538
shaped_rotor,0.013,unweighted_rim,2,10.0,-12.5,214.63632031881278,4360.376672775314,69,3.942718494501779,3.7643670169365246
shaped_rotor,0.013,unweighted_rim,3,10.0,12.5,-214.63632031881278,4024.6517205139294,56,3.9019499125289454,3.7355122972923356
shaped_rotor,0.013,unweighted_rim,4,10.0,12.5,214.63632031881278,3996.847641729109,56,3.898078021132436,3.7306323932622165
shaped_rotor,0.013,midarc_rim,1,5.0,164.4023266258723,164.4023266258723,2034.5788927087804,16,6.005359471821734,6.004397957446314
shaped_rotor,0.013,midarc_rim,2,5.0,-164.4023266258723,164.4023266258723,1816.6365076431832,13,5.895693120411898,5.895048772901008
shaped_rotor,0.013,midarc_rim,3,5.0,-164.40232662587232,-164.4023266258723,1552.7662721719148,11,5.6918090502856185,5.6912712551504425
shaped_rotor,0.013,midarc_rim,4,5.0,164.40232662587226,-164.40232662587232,1922.6093687335942,15,5.964838683265268,5.963835338569942
shaped_rotor,0.013,midarc_rim,1,10.0,164.4023266258723,164.4023266258723,6869.923816278623,56,5.883472234006973,5.880595443522305
shaped_rotor,0.013,midarc_rim,2,10.0,-164.4023266258723,164.4023266258723,6369.116236982339,52,5.91831296630582,5.9156925444283095
shaped_rotor,0.013,midarc_rim,3,10.0,-164.40232662587232,-164.4023266258723,6221.951783714173,49,5.975939705342571,5.973226531022969
shaped_rotor,0.013,midarc_rim,4,10.0,164.40232662587226,-164.40232662587232,6773.3928487626745,55,5.994359307574959,5.9915119405330675
baseline_rounded,0.013,weighted_hub,1,5.0,-27.271780286589287,-12.5,1102.5716023641737,3536,26.141529199580155,24.928925315961834
baseline_rounded,0.013,weighted_hub,2,5.0,-27.271780286589287,12.5,1108.83330452694,3103,26.108132390757735,24.913311615132187
baseline_rounded,0.013,weighted_hub,3,5.0,27.271780286589287,-12.5,1154.8641810361466,3333,26.139542149414083,24.954413133337233
baseline_rounded,0.013,weighted_hub,4,5.0,27.271780286589287,12.5,1096.8760605613047,3521,26.138474044179727,24.939330804272245
baseline_rounded,0.013,weighted_hub,1,10.0,-27.271780286589287,-12.5,4235.579988592659,12304,22.815904477567507,21.80072298011655
baseline_rounded,0.013,weighted_hub,2,10.0,-27.271780286589287,12.5,4172.342473708312,11766,22.744374830749553,21.730232750846316
baseline_rounded,0.013,weighted_hub,3,10.0,27.271780286589287,-12.5,4150.4476273372,12152,22.752337299550028,21.73516920064708
baseline_rounded,0.013,weighted_hub,4,10.0,27.271780286589287,12.5,4207.854109848691,12720,22.763873068025603,21.75446360119261
baseline_rounded,0.013,inner_insert_boss,1,5.0,-156.77095883552354,-12.5,1166.4647566374244,213,23.035304836843185,22.02807474815493
baseline_rounded,0.013,inner_insert_boss,2,5.0,-156.77095883552354,12.5,1126.325674098931,206,22.601205181527295,21.536418416998064
baseline_rounded,0.013,inner_insert_boss,3,5.0,156.77095883552354,-12.5,1228.2861935005603,218,23.480582286509907,22.5295108965805
baseline_rounded,0.013,inner_insert_boss,4,5.0,156.77095883552354,12.5,1182.148154633465,235,22.91652303390881,21.898798093749804
baseline_rounded,0.013,inner_insert_boss,1,10.0,-156.77095883552354,-12.5,4424.957927255408,692,20.413072890120482,19.537356708518594
baseline_rounded,0.013,inner_insert_boss,2,10.0,-156.77095883552354,12.5,4360.993348919355,632,20.409220691857346,19.535386513123985
baseline_rounded,0.013,inner_insert_boss,3,10.0,156.77095883552354,-12.5,4364.830531117437,672,20.499985351054143,19.640750130338525
baseline_rounded,0.013,inner_insert_boss,4,10.0,156.77095883552354,12.5,4437.44489060658,777,20.527892102231085,19.674791215333713
baseline_rounded,0.013,unweighted_hub,1,5.0,-12.5,-27.271780286589287,1094.9103569629226,3284,3.627995705662176,3.551132089475499
baseline_rounded,0.013,unweighted_hub,2,5.0,-12.5,27.271780286589287,1131.8912701136703,3054,3.575513323884812,3.506427986628312
baseline_rounded,0.013,unweighted_hub,3,5.0,12.5,-27.271780286589287,1123.8123189885052,2983,3.547536216519074,3.4778103662624624
baseline_rounded,0.013,unweighted_hub,4,5.0,12.5,27.271780286589287,1103.585027217111,3203,3.619401546569587,3.5391937718455773
baseline_rounded,0.013,unweighted_hub,1,10.0,-12.5,-27.271780286589287,4229.822078172242,11376,4.494714583977063,4.270729700240599
baseline_rounded,0.013,unweighted_hub,2,10.0,-12.5,27.271780286589287,4142.841965721168,12112,4.61441305137173,4.40376232815983
baseline_rounded,0.013,unweighted_hub,3,10.0,12.5,-27.271780286589287,4204.719192370776,10809,4.531356992901101,4.3146910325304395
baseline_rounded,0.013,unweighted_hub,4,10.0,12.5,27.271780286589287,4178.097412764548,12028,4.547723562502109,4.3345700200914425
baseline_rounded,0.013,unweighted_rim,1,5.0,-12.5,-214.63632031881278,1252.8643163096376,172,3.856773245641719,3.6880628975739667
baseline_rounded,0.013,unweighted_rim,2,5.0,-12.5,214.63632031881278,1316.4580670391172,163,3.917788632300851,3.761810501885501
baseline_rounded,0.013,unweighted_rim,3,5.0,12.5,-214.63632031881278,1276.4114623426437,137,3.869587576531792,3.7143805189148407
baseline_rounded,0.013,unweighted_rim,4,5.0,12.5,214.63632031881278,1328.7807338443033,158,3.91497652998626,3.764516010624466
baseline_rounded,0.013,unweighted_rim,1,10.0,-12.5,-214.63632031881278,4877.340735623494,504,3.9736508586909967,3.804877922187222
baseline_rounded,0.013,unweighted_rim,2,10.0,-12.5,214.63632031881278,4838.186574771892,490,3.958070968027269,3.785045515773279
baseline_rounded,0.013,unweighted_rim,3,10.0,12.5,-214.63632031881278,4868.349098944798,425,3.933113635314902,3.7628190742076812
baseline_rounded,0.013,unweighted_rim,4,10.0,12.5,214.63632031881278,4827.322416477908,480,3.942668406331781,3.774542108372641
baseline_rounded,0.013,midarc_rim,1,5.0,164.4023266258723,164.4023266258723,1705.8574183323205,14,5.869265367725705,5.868239665946633
baseline_rounded,0.013,midarc_rim,2,5.0,-164.4023266258723,164.4023266258723,1449.5525897898115,12,6.191203476330712,6.190725253151685
baseline_rounded,0.013,midarc_rim,3,5.0,-164.40232662587232,-164.4023266258723,1449.5754261119494,12,6.191329997958294,6.190870164020294
baseline_rounded,0.013,midarc_rim,4,5.0,164.40232662587226,-164.40232662587232,1459.9249817118246,12,5.914190334488718,5.913269320269311
baseline_rounded,0.013,midarc_rim,1,10.0,164.4023266258723,164.4023266258723,6648.281301543397,57,5.981874482502504,5.979097051964879
baseline_rounded,0.013,midarc_rim,2,10.0,-164.4023266258723,164.4023266258723,6475.671273893572,56,5.907290236791679,5.904617789632969
baseline_rounded,0.013,midarc_rim,3,10.0,-164.40232662587232,-164.4023266258723,6475.748219542146,56,5.907749638584583,5.905094543966516
baseline_rounded,0.013,midarc_rim,4,10.0,164.40232662587226,-164.40232662587232,6659.765495818296,56,6.063589672507109,6.060880521972064
baseline_rounded,0.018,weighted_hub,1,5.0,-27.271780286589287,-12.5,1088.8084844968323,1517,26.327079226089243,25.098696853651603
baseline_rounded,0.018,weighted_hub,2,5.0,-27.271780286589287,12.5,1092.6442036864785,1394,26.208466904111066,25.00910034439005
baseline_rounded,0.018,weighted_hub,3,5.0,27.271780286589287,-12.5,1120.599833254131,1421,26.32284178480861,25.177820653023407
baseline_rounded,0.018,weighted_hub,4,5.0,27.271780286589287,12.5,1104.3849791348837,1557,26.312760705369104,25.11476587902171
baseline_rounded,0.018,weighted_hub,1,10.0,-27.271780286589287,-12.5,4097.387299483866,4810,22.672180395185844,21.658720039270303
baseline_rounded,0.018,weighted_hub,2,10.0,-27.271780286589287,12.5,4152.185745132077,4642,22.752959749732778,21.752813240059837
baseline_rounded,0.018,weighted_hub,3,10.0,27.271780286589287,-12.5,4209.361031392358,5087,22.72644563809478,21.744344070244026
baseline_rounded,0.018,weighted_hub,4,10.0,27.271780286589287,12.5,4199.584462967408,5451,22.784778994171557,21.78716901688588
baseline_rounded,0.018,inner_insert_boss,1,5.0,-156.77095883552354,-12.5,1203.705205411753,189,23.431658372560413,22.495201775491736
baseline_rounded,0.018,inner_insert_boss,2,5.0,-156.77095883552354,12.5,1165.4119427056885,204,23.03441101731637,21.98861407808712
baseline_rounded,0.018,inner_insert_boss,3,5.0,156.77095883552354,-12.5,1132.450438551535,187,22.79063992851938,21.801880334982208
baseline_rounded,0.018,inner_insert_boss,4,5.0,156.77095883552354,12.5,1115.7004426974468,192,23.123527562620712,22.139604262679047
baseline_rounded,0.018,inner_insert_boss,1,10.0,-156.77095883552354,-12.5,4292.329192191275,626,20.393170348849658,19.524974458548176
baseline_rounded,0.018,inner_insert_boss,2,10.0,-156.77095883552354,12.5,4419.193699358415,652,20.60552779166496,19.748815283755093
baseline_rounded,0.018,inner_insert_boss,3,10.0,156.77095883552354,-12.5,4341.7054010598795,599,20.422270907227258,19.56252741422769
baseline_rounded,0.018,inner_insert_boss,4,10.0,156.77095883552354,12.5,4343.097932418935,614,20.435180653673108,19.56846904986177
baseline_rounded,0.018,unweighted_hub,1,5.0,-12.5,-27.271780286589287,1076.437998260658,1561,3.7240982367935835,3.639780371324575
baseline_rounded,0.018,unweighted_hub,2,5.0,-12.5,27.271780286589287,1102.1211828637017,1508,3.6480552101724295,3.5669011910266146
baseline_rounded,0.018,unweighted_hub,3,5.0,12.5,-27.271780286589287,1098.3751397944695,1565,3.6575998860866075,3.591502743081944
baseline_rounded,0.018,unweighted_hub,4,5.0,12.5,27.271780286589287,1122.4590207602062,1433,3.5853766084026644,3.501834279402904
baseline_rounded,0.018,unweighted_hub,1,10.0,-12.5,-27.271780286589287,4160.30228456956,5120,4.65307929679703,4.447825005175522
baseline_rounded,0.018,unweighted_hub,2,10.0,-12.5,27.271780286589287,4239.19388458777,5191,4.553800942183663,4.3475548922308445
baseline_rounded,0.018,unweighted_hub,3,10.0,12.5,-27.271780286589287,4148.502624591449,5189,4.607053346449263,4.405734821804225
baseline_rounded,0.018,unweighted_hub,4,10.0,12.5,27.271780286589287,4301.321051991875,5257,4.455387131968425,4.232338784435
baseline_rounded,0.018,unweighted_rim,1,5.0,-12.5,-214.63632031881278,1144.4911128652639,99,3.7965654858548037,3.6604229463908275
baseline_rounded,0.018,unweighted_rim,2,5.0,-12.5,214.63632031881278,1283.8919371391835,154,3.893356781123278,3.7320940495013515
baseline_rounded,0.018,unweighted_rim,3,5.0,12.5,-214.63632031881278,1137.072642155265,86,3.728671307242158,3.5867933157442264
baseline_rounded,0.018,unweighted_rim,4,5.0,12.5,214.63632031881278,1169.5977571214614,108,3.965072906390447,3.8161921850900904
baseline_rounded,0.018,unweighted_rim,1,10.0,-12.5,-214.63632031881278,4737.67595811057,266,3.9392763491977294,3.7704110551145735
baseline_rounded,0.018,unweighted_rim,2,10.0,-12.5,214.63632031881278,4774.966836444053,455,3.974134778145643,3.818819736353546
baseline_rounded,0.018,unweighted_rim,3,10.0,12.5,-214.63632031881278,4831.314020052603,296,3.9981507516742076,3.844266301653134
baseline_rounded,0.018,unweighted_rim,4,10.0,12.5,214.63632031881278,4818.621713225391,285,3.8374167214799346,3.670556710054566
baseline_rounded,0.018,midarc_rim,1,5.0,164.4023266258723,164.4023266258723,1539.5571272629034,6,5.700002691520206,5.6992559989526725
baseline_rounded,0.018,midarc_rim,2,5.0,-164.4023266258723,164.4023266258723,1573.3962994568137,6,5.901027763385996,5.900306903186947
