shape,radius,center,spoke,rim,insert_size,aluminum_mass_kg,aluminum_polar_inertia_kg_m2,steel_mass_kg,steel_polar_inertia_kg_m2,quadrupole_x2_minus_y2_kg_m2,insert_radius_m,insert_height_m,outer_extent_m
cylinder,0.035,0.2,0.02,0.02,0.08512688147466546,2.770085366186796,0.11584518995688585,5.14342412543288,0.2088873122941429,0.20935759475170035,0.035,0.08512688147466546,0.25
cylinder,0.035,0.2,0.03,0.02,0.07928516405906089,3.1230459089540537,0.12150163752464452,4.790463582665622,0.19455270225100763,0.19214661451748544,0.035,0.07928516405906089,0.25
cylinder,0.035,0.2,0.04,0.02,0.07331657875267238,3.483671896042741,0.127238631477438,4.429837595576935,0.17990677935036836,0.17469918379418548,0.035,0.07331657875267238,0.25
cylinder,0.035,0.18,0.02,0.02,0.08364948942744446,2.859350399355673,0.11922187786532747,5.054159092264004,0.1668504270333654,0.17065013866513895,0.035,0.08364948942744446,0.25
sphere,0.03,0.18,0.02,0.02,0.04241678941043891,2.894689251001466,0.12036601646233586,5.018820240616188,0.1662216882742405,0.1701560420899308,0.04241678941043891,0.08483357882087782,0.25
cylinder,0.035,0.2,0.02,0.035,0.06943540092549205,3.718175302318177,0.16285360273051316,4.1953341893015,0.17038300976300716,0.16574821986365895,0.035,0.06943540092549205,0.25
cylinder,0.035,0.18,0.03,0.02,0.07814263264007157,3.1920784350221396,0.1245129471106538,4.721431056597536,0.1558662427559262,0.15641819740905638,0.035,0.07814263264007157,0.25
sphere,0.03,0.18,0.03,0.02,0.041485920360926826,3.217916457762105,0.12547779894941688,4.695593033852711,0.1553698137833126,0.15612186938540573,0.041485920360926826,0.08297184072185365,0.25
cylinder,0.03,0.2,0.03,0.035,0.08612656883532305,4.090290451101273,0.16971572691194547,3.8232190405184037,0.15464921018896943,0.15068933963538506,0.03,0.08612656883532305,0.25
cylinder,0.035,0.2,0.03,0.035,0.06386223396174584,4.0549098439791305,0.16770645954850724,3.8585996476405455,0.15670737818980165,0.14998473175997462,0.035,0.06386223396174584,0.25
cylinder,0.035,0.18,0.04,0.02,0.07248655773434316,3.5338223309739356,0.12994186445874772,4.379687160645739,0.1445844223908175,0.14202682433151367,0.035,0.07248655773434316,0.25
sphere,0.03,0.18,0.04,0.02,0.040483313784054197,3.550195910663424,0.13065650609624346,4.363313580945103,0.14423177159598816,0.14186190039561655,0.040483313784054197,0.08096662756810839,0.25
cylinder,0.035,0.18,0.02,0.035,0.06691821195502284,3.870265573390048,0.16938259021364338,4.043243918229628,0.1334775898505556,0.13519841296418747,0.035,0.06691821195502284,0.25
cylinder,0.03,0.2,0.04,0.035,0.07823775732062688,4.440480349502026,0.17479102031486862,3.4730291421176505,0.140484028798659,0.1345936655002734,0.03,0.07823775732062688,0.25
sphere,0.03,0.18,0.02,0.035,0.039469116045287654,3.86998142727682,0.16892591758258144,4.043528064334367,0.13352993047975287,0.13452257998489997,0.039469116045287654,0.07893823209057531,0.25
cylinder,0.035,0.2,0.04,0.035,0.05816260871363362,4.399285081262918,0.17263863894183998,3.5142244103567584,0.1427214388656139,0.1339821234474394,0.035,0.05816260871363362,0.25
cylinder,0.03,0.18,0.03,0.035,0.08380322210480218,4.193425448558766,0.17431367799586683,3.720084043060912,0.12220476081455095,0.12272530909151781,0.03,0.08380322210480218,0.25
cylinder,0.035,0.18,0.03,0.035,0.06170253848102493,4.185400115050957,0.17379814664043197,3.72810937656872,0.12307421079397488,0.12226348698592215,0.035,0.06170253848102493,0.25
sphere,0.03,0.18,0.03,0.035,0.03841690642395095,4.184826763903016,0.1735139723955788,3.7286827277053787,0.12301052391373057,0.12182324771625157,0.03841690642395095,0.0768338128479019,0.25
cylinder,0.03,0.18,0.04,0.035,0.07640099895115125,4.52201534695952,0.17890479387008357,3.3914941446601574,0.11141058265208614,0.10952006065554562,0.03,0.07640099895115125,0.25
cylinder,0.035,0.18,0.04,0.035,0.05636040672265971,4.508175352334778,0.17828007992954753,3.4053341392848986,0.11241859327314271,0.10914104437252559,0.035,0.05636040672265971,0.25
sphere,0.03,0.18,0.04,0.035,0.03726761337571208,4.509560795980921,0.17820172165357023,3.403948695624226,0.11217900144523088,0.10890041639799358,0.03726761337571208,0.07453522675142416,0.25
