case,mesh,region,vm_max_mpa,x_mm,y_mm,z_mm
shaped_rotor,0.013,all,38.917625601278466,-29.565283424620812,-11.5388768450206,7.347660446128772
shaped_rotor,0.013,hub_junction,38.917625601278466,-29.565283424620812,-11.5388768450206,7.347660446128772
shaped_rotor,0.013,insert_boss,36.230282728052906,-154.69484601661892,11.524552416198885,7.124475508870782
shaped_rotor,0.013,fixed_bore,32.32480297873964,-5.23175400086928,-3.505635058813847,9.71687588579179
shaped_rotor,0.013,rim_or_spokes,32.23771629933379,-152.96566782989532,11.434754575821973,-8.72962645737858
baseline_rounded,0.013,all,53.4633029475712,-27.446481449373977,-12.90998241788804,9.708954307137335
baseline_rounded,0.013,hub_junction,53.4633029475712,-27.446481449373977,-12.90998241788804,9.708954307137335
baseline_rounded,0.013,insert_boss,44.24344546789742,-155.26451767625932,12.1741764156264,3.4299358813304592
baseline_rounded,0.013,fixed_bore,34.09847492104272,5.269670326853562,3.154647488317037,-9.33953453557818
baseline_rounded,0.013,rim_or_spokes,34.36702197815148,-152.84925533622268,11.989546957613683,7.088706682512471
baseline_rounded,0.018,all,49.46353254290751,-26.98859584182963,13.00384848407212,-8.258388872968057
baseline_rounded,0.018,hub_junction,49.46353254290751,-26.98859584182963,13.00384848407212,-8.258388872968057
baseline_rounded,0.018,insert_boss,42.42798047512031,-155.15375032991574,-12.073337911935337,4.14589803375033
baseline_rounded,0.018,fixed_bore,32.64216961451801,5.910749252477632,2.6625558706748644,9.71120498729725
baseline_rounded,0.018,rim_or_spokes,32.9388960003774,152.40885669542646,-11.738626220738793,7.236067977499778
medium_rounded,0.013,all,58.12654720137538,-25.56534199643244,-15.596144124883363,-8.98154854665035
medium_rounded,0.013,hub_junction,58.12654720137538,-25.56534199643244,-15.596144124883363,-8.98154854665035
medium_rounded,0.013,insert_boss,47.23215026058986,150.52496259170894,-14.555452893034944,-4.145898033750329
medium_rounded,0.013,fixed_bore,38.8415985819881,5.688437373035743,-2.170112344714413,-9.711204987294487
medium_rounded,0.013,rim_or_spokes,38.43622156075223,-148.38915764042503,14.444855955901618,-7.408668961553273
medium_rounded,0.018,all,50.17183427367054,-150.86764592586692,14.861285490583958,4.14589803375033
medium_rounded,0.018,hub_junction,48.02582790501624,25.580816670992704,15.698512433639612,-9.80257628410494
medium_rounded,0.018,insert_boss,50.17183427367054,-150.86764592586692,14.861285490583958,4.14589803375033
medium_rounded,0.018,fixed_bore,38.832617766272385,-6.9765416745659365,-1.4442461230101051,9.655366631191539
medium_rounded,0.018,rim_or_spokes,35.88736332071067,-148.18635264376618,14.175108639004675,7.236067977499778
wide_rounded,0.013,all,42.15101791962912,21.27636636224668,20.87560820565479,-7.787672988918431
wide_rounded,0.013,hub_junction,42.15101791962912,21.27636636224668,20.87560820565479,-7.787672988918431
wide_rounded,0.013,insert_boss,34.47716372644087,152.89835736887164,-19.809728880000367,4.145898033750332
wide_rounded,0.013,fixed_bore,32.06029989292855,5.846444555980529,-2.9175597877866157,9.711204987294487
wide_rounded,0.013,rim_or_spokes,24.90750002592309,-150.05157022577848,-18.93055355626973,2.644200063819012
wide_rounded,0.018,all,40.66747075301936,21.51544086176482,20.769491980712232,-9.163699719103173
wide_rounded,0.018,hub_junction,40.66747075301936,21.51544086176482,20.769491980712232,-9.163699719103173
wide_rounded,0.018,insert_boss,33.7087902056627,-153.03784697388068,-19.69972473330042,4.145898033750331
wide_rounded,0.018,fixed_bore,32.287809924281056,5.883246018293151,-2.831074776306186,9.711204987297249
wide_rounded,0.018,rim_or_spokes,24.426171475073428,149.63726775868898,-18.574371027787645,-2.76393202250022
