harmonic,frequency_hz,peak_amplitude_m_s2,real_m_s2,imag_m_s2
1,30,8.073345245703686e-14,8.058676482031795e-14,4.864533012262922e-15
2,60,4.247129620515225e-10,-4.2471296205147505e-10,2.0081074595052655e-16
3,90,5.358879946967154e-14,5.35160593736185e-14,2.7912036328451454e-15
4,120,8.652249421733806e-11,-8.652249421645207e-11,3.915564826235962e-16
5,150,1.7491721765936127e-14,1.7468116597485255e-14,9.08423289873061e-16
6,180,1.4444117825598949e-11,-1.4444117824178274e-11,2.025851928900058e-16
7,210,4.657287407592835e-15,4.650828575531395e-15,2.4519289945552186e-16
8,240,2.6713870785095055e-12,-2.671387077570343e-12,7.083596290850715e-17
9,270,1.1276878385406562e-15,1.1258506772840748e-15,6.434371493384125e-17
10,300,4.3106055828277293e-13,-4.310605577155335e-13,2.211400141708564e-17
11,330,2.5922618358382105e-16,2.58752764706871e-16,1.5659534219878803e-17
12,360,7.675530784149972e-14,-7.675530758597412e-14,6.2630578149117636e-18
13,390,5.800677578791234e-17,5.787297731723733e-17,3.937579681437199e-18
14,420,1.2162473717500952e-14,-1.2162473623919878e-14,1.5087593145961782e-18
15,450,1.2782708650163236e-17,1.2745773270166135e-17,9.710325331709898e-19
16,480,2.1349452961798773e-15,-2.1349452583001513e-15,4.0217195976588504e-19
