harmonic,frequency_hz,peak_amplitude_m_s2,real_m_s2,imag_m_s2
1,30,7.611705217516357e-16,7.581477736914703e-16,6.776810776703492e-17
2,60,1.4938508392266994e-12,-1.4938508392266606e-12,3.4012077723667336e-19
3,90,4.3621071883614236e-17,4.355069899476807e-17,2.4767982038406607e-18
4,120,1.9318620973533343e-14,-1.9318620973368863e-14,7.971884956341149e-20
5,150,9.388043810273616e-19,9.37447548614056e-19,5.04555193577939e-20
6,180,2.0358041930009107e-16,-2.035804192821221e-16,2.704858162095185e-21
7,210,1.6009812445048153e-20,1.5986617573173735e-20,8.61483078598447e-22
8,240,2.3702662368682685e-18,-2.370266236069755e-18,6.152542330907392e-23
9,270,2.461721309878637e-22,2.4576811261137486e-22,1.4097974980418008e-23
10,300,2.4104905064139066e-20,-2.4104905034928102e-20,1.186699238222515e-24
11,330,3.584559211901793e-24,3.577996305512674e-24,2.1681139584361747e-25
12,360,2.696445688589198e-22,-2.696445680082788e-22,2.1418249948285918e-26
13,390,5.116095674157504e-26,5.115869012958053e-26,-4.8157962879654685e-28
14,420,2.6882266171395694e-24,-2.6882265996653573e-24,-3.065114750324916e-28
15,450,5.033242327757416e-27,4.27478020776194e-27,-2.6570251231886545e-27
16,480,2.859140610858514e-26,-2.8591299567805157e-26,7.805312334745771e-29
