harmonic,frequency_hz,peak_amplitude_m_s2,real_m_s2,imag_m_s2
1,30,6.21252181567754e-16,-6.211968227304258e-16,8.293402939534078e-18
2,60,5.646189747736061e-10,-5.64618974773606e-10,-8.15969718987952e-18
3,90,2.960026475457506e-16,-2.9521605594561414e-16,2.156496385366505e-17
4,120,1.1408961136296369e-10,-1.1408961136296347e-10,-6.992378395400226e-18
5,150,7.544124701278316e-17,-7.252928608182005e-17,2.0757755449596837e-17
6,180,1.92570053302404e-11,-1.925700533023937e-11,-6.3023446717581254e-18
7,210,3.62859809457029e-17,-3.533006655158371e-17,8.27398396496994e-18
8,240,3.5782324837832033e-12,-3.5782324837824456e-12,-2.3286894802065338e-18
9,270,6.548417596505003e-18,-5.669221818619545e-18,3.2774528203323474e-18
10,300,5.689039686548999e-13,-5.689039686520236e-13,-1.809046454797364e-18
11,330,1.5481910831694193e-18,-8.764901833966364e-19,1.2761898716157524e-18
12,360,1.0289930759750814e-13,-1.0289930759736228e-13,-1.7325626902433354e-19
13,390,6.106765995568989e-19,-3.5045549318723423e-19,5.001068451253886e-19
14,420,1.5551639844347424e-14,-1.5551639844267127e-14,-4.9974654418159844e-20
15,450,3.1512654552806626e-19,-4.090800223456663e-20,3.124600375242074e-19
16,480,2.826713221764862e-15,-2.826713221750403e-15,-9.041183055685089e-21
