harmonic,frequency_hz,peak_amplitude_m_s2,real_m_s2,imag_m_s2
1,30,5.4042559155075675e-17,-5.4042555237436564e-17,-2.0577620641907503e-20
2,60,3.2300756726914526e-11,-3.2300756726914526e-11,-2.5831784472569904e-19
3,90,7.219374247843616e-18,-7.203896603883328e-18,4.724809530402491e-19
4,120,1.649708607764089e-12,-1.6497086077640871e-12,-7.812314988859706e-20
5,150,4.738538052231771e-19,-4.556847552338517e-19,1.299570412557523e-19
6,180,7.013340009137431e-14,-7.01334000913718e-14,-1.877043349102739e-20
7,210,5.21947657498781e-20,-5.0230019648404e-20,1.418586260350762e-20
8,240,3.272405088503108e-15,-3.2724050885025104e-15,-1.977694656031986e-21
9,270,2.4549426734405056e-21,-1.984626232398473e-21,1.4449921271602343e-21
10,300,1.3090913752789212e-16,-1.3090913752738728e-16,-3.635607272004555e-22
11,330,1.6088088116929155e-22,-8.498113826351712e-23,1.3660477321545061e-22
12,360,5.934863827548812e-18,-5.934863827540116e-18,-1.0159866372824445e-23
13,390,1.578617309964669e-23,-8.50971834323635e-24,1.329616316276224e-23
14,420,2.2597750875144184e-19,-2.2597750875026664e-19,-7.287950167615581e-25
15,450,2.03663174491806e-24,-2.6046575225971146e-25,2.0199075365738316e-24
16,480,1.0279270552728805e-20,-1.0279270552674635e-20,-3.337122089676301e-26
