harmonic,frequency_hz,peak_amplitude_m_s2,real_m_s2,imag_m_s2
1,30,7.974797751370329e-14,7.974051464011243e-14,1.0909823353937207e-15
2,60,5.180259430854158e-10,-5.180259430847594e-10,8.246582920795176e-16
3,90,4.122722582610483e-14,4.122136172325812e-14,6.953322924728993e-16
4,120,1.0881252604757681e-10,-1.0881252604694372e-10,3.7118403437557075e-16
5,150,1.3004903857567374e-14,1.3002489027824634e-14,2.506061169859387e-16
6,180,1.765684605587273e-11,-1.7656846055466074e-11,1.1983558913723776e-16
7,210,3.496200376436467e-15,3.495397165373265e-15,7.49381644760451e-17
8,240,3.3982113427066757e-12,-3.3982113425140456e-12,3.61827916106319e-17
9,270,8.643279900371259e-16,8.640639693763514e-16,2.1361909727402364e-17
10,300,5.187653320028762e-13,-5.187653319281943e-13,8.80253703186355e-18
11,330,2.0660375289214848e-16,2.0653862866674653e-16,5.187058663611325e-18
12,360,9.748642311999833e-14,-9.748642309154074e-14,2.3555163927405564e-18
13,390,4.790909283852018e-17,4.788554386868158e-17,1.5019537311506078e-18
14,420,1.4034653602460488e-14,-1.4034653595555223e-14,4.402567861588338e-19
15,450,1.111288712496963e-17,1.110087431355208e-17,5.16574996525582e-19
16,480,2.668797723248665e-15,-2.6687977144578564e-15,2.1661435304304257e-19
