harmonic,frequency_hz,peak_amplitude_m_s2,real_m_s2,imag_m_s2
1,30,7.369241343330801e-15,7.368233815978249e-15,1.2185404929904791e-16
2,60,2.959361146589241e-11,-2.9593611465857234e-11,4.562729421786021e-17
3,90,1.1112523011401847e-15,1.111076521975697e-15,1.9764592172478457e-17
4,120,1.5703824623374112e-12,-1.5703824623288518e-12,5.184906686628517e-18
5,150,9.087502715521823e-17,9.085757977077719e-17,1.7806624212659504e-18
6,180,6.414416003188427e-14,-6.414416003051335e-14,4.19370641453908e-19
7,210,6.209553793443128e-18,6.208107852933779e-18,1.3399701491407407e-19
8,240,3.096940893658253e-15,-3.0969408934984617e-15,3.145996095623051e-20
9,270,3.88514848554078e-19,3.8839871917878624e-19,9.498551851545907e-21
10,300,1.1894042381811145e-16,-1.1894042380254468e-16,1.9243276813393662e-21
11,330,2.3413776924292205e-20,2.340642363293446e-20,5.867559766422452e-22
12,360,5.595027032526146e-18,-5.595027031002709e-18,1.305655047825118e-22
13,390,1.3677573686234825e-21,1.3671287931442092e-21,4.1461818337975776e-23
14,420,2.0297752019174483e-19,-2.0297752009818008e-19,6.1630418352590675e-24
15,450,7.972369971606197e-23,7.964826402901693e-23,3.467323691383155e-24
16,480,9.643155127281484e-21,-9.643155099347465e-21,7.33991928939646e-25
