harmonic,frequency_hz,peak_amplitude_m_s2,real_m_s2,imag_m_s2
1,30,6.47796669477271e-17,6.293432169496356e-17,1.5351755686346952e-17
2,60,4.260509438783086e-10,-4.260509438783086e-10,-2.0735685481086864e-18
3,90,1.3434948805051412e-16,-1.343354833525579e-16,-1.939807173375009e-18
4,120,8.67566925777624e-11,-8.675669257776236e-11,-2.687127860748631e-18
5,150,7.485134826424233e-17,-7.40954362930639e-17,-1.0610874493433744e-17
6,180,1.4497298193243107e-11,-1.4497298193243095e-11,5.603220790837502e-19
7,210,3.1396920147157764e-17,-3.024448453419676e-17,-8.428389525154508e-18
8,240,2.6806103175744812e-12,-2.6806103175741912e-12,1.2473036808131232e-18
9,270,1.1438624839593885e-17,-1.1125155923555087e-17,-2.6595194862157693e-18
10,300,4.331400639691512e-13,-4.331400639686347e-13,6.689158312106572e-19
11,330,4.1925998446969516e-18,-4.086514054411115e-18,-9.371746586700529e-19
12,360,7.711785202862656e-14,-7.711785202854067e-14,1.1510013035274134e-19
13,390,1.0547005750256626e-18,-1.0318780486918248e-18,-2.1822235354659486e-19
14,420,1.2240262355997994e-14,-1.2240262355897477e-14,-4.960532468278248e-20
15,450,1.8240295542864799e-19,-1.7673492967422174e-19,4.5117654883130183e-20
16,480,2.1481338590054087e-15,-2.148133858519224e-15,4.570317194745969e-20
