harmonic,frequency_hz,peak_amplitude_m_s2,real_m_s2,imag_m_s2
1,30,1.448094574524092e-17,1.445471043703861e-17,8.712840283042989e-19
2,60,2.4455171849675243e-11,-2.4455171849675243e-11,6.27005682327811e-20
3,90,3.628815229280722e-18,-3.624542795032206e-18,-1.760383345746634e-19
4,120,1.2608812762700586e-12,-1.2608812762700576e-12,4.8606467924920775e-20
5,150,5.315866248131911e-19,-5.291918223489898e-19,-5.040193289185953e-20
6,180,5.310696077898284e-14,-5.310696077898252e-14,5.76392502081845e-21
7,210,5.484004240716107e-20,-5.3676466419360307e-20,-1.123686806679287e-20
8,240,2.4695652497560385e-15,-2.4695652497556548e-15,1.3767514930913082e-21
9,270,4.956288944467965e-21,-4.889204691830053e-21,-8.1269771898434825e-22
10,300,1.0044857996115297e-16,-1.0044857996103506e-16,1.5390964167706976e-22
11,330,4.611165707893352e-22,-4.497220210287713e-22,-1.0187539280078028e-22
12,360,4.490201118460528e-18,-4.490201118450485e-18,9.496720503556558e-24
13,390,3.018583006723019e-23,-2.9702849340056145e-23,-5.378203968763573e-24
14,420,1.7940741931415804e-19,-1.79407419313975e-19,-2.5626680516373876e-25
15,450,1.2510675334731742e-24,-1.231533282673648e-24,2.202174992540791e-25
16,480,7.898073588180973e-21,-7.8980735864117e-21,1.671756681216725e-25
