harmonic,frequency_hz,peak_amplitude_m_s2,real_m_s2,imag_m_s2
1,30,9.48503687193396e-16,-9.157225820935411e-16,-2.4720719500735705e-16
2,60,5.186354870252865e-10,-5.186354870252854e-10,-3.480613537567918e-17
3,90,4.452039477890125e-16,-4.2147120739846256e-16,-1.4341749008054734e-16
4,120,9.769605900491667e-11,-9.769605900491493e-11,-1.8473097620464106e-17
5,150,9.705702914487313e-17,-9.019820582162113e-17,-3.583783716952269e-17
6,180,1.4949613765914104e-11,-1.4949613765913652e-11,-3.677786992539853e-18
7,210,2.2669179278713977e-17,-2.1879152035927775e-17,-5.9324864398692634e-18
8,240,2.5976765004288127e-12,-2.5976765004284936e-12,1.2873678352634179e-18
9,270,3.2913250432780017e-18,-3.2874921992831066e-18,-1.5879414397786728e-19
10,300,3.63928447951341e-13,-3.639284479503007e-13,-8.701575200963771e-19
11,330,1.8525358808578384e-18,-1.051452560120404e-18,1.5252333276197366e-18
12,360,6.246264778972641e-14,-6.246264778789402e-14,-4.784472057014798e-19
13,390,3.1537672842468223e-19,6.177778295722815e-20,3.0926685300035854e-19
14,420,7.911439282073946e-15,-7.911439280100186e-15,-1.7672170412598092e-19
15,450,8.003891943682187e-20,-4.2049636739896196e-20,6.810327947064542e-20
16,480,1.4322187833279005e-15,-1.4322187815698056e-15,-7.096444753341148e-20
