harmonic,frequency_hz,peak_amplitude_m_s2,real_m_s2,imag_m_s2
1,30,1.096154450545413e-17,-1.0443031218104102e-17,-3.3314496728533595e-18
2,60,1.8224517702869846e-12,-1.8224517702869793e-12,-1.3614449196701087e-19
3,90,3.764487354173377e-19,-3.56786049979692e-19,-1.2007233210528325e-19
4,120,2.166279826760944e-14,-2.166279826760878e-14,-5.3415886395714185e-21
5,150,5.8347433476234145e-21,-5.531508116922338e-21,-1.8565149837957102e-21
6,180,2.083640767397156e-16,-2.0836407673969956e-16,-8.180001325434909e-23
7,210,8.526902225443283e-23,-8.357330750643284e-23,-1.692065095267252e-23
8,240,2.268310495067619e-18,-2.2683104950676133e-18,1.6451338086974182e-25
9,270,8.67379520545548e-25,-8.668908879055818e-25,2.911049858894265e-26
10,300,1.9959508208806686e-20,-1.9959508208735758e-20,-5.32112521793025e-26
11,330,2.4259303937560847e-26,-1.584860011890227e-26,1.8366700896080553e-26
12,360,2.141737397917164e-22,-2.1417373979138e-22,3.795817600916427e-28
13,390,3.0112086149851215e-27,-2.5643599802662743e-27,-1.578428083432808e-27
14,420,1.7102272234113785e-24,-1.7102268960226373e-24,1.0582146137001422e-27
15,450,1.996652283382111e-27,-1.8971067558709888e-27,-6.225803543026798e-28
16,480,2.0165777716640864e-26,-2.016071307607396e-26,4.519282920881078e-28
