case,distance_m,mass_kg,polar_inertia_kg_m2,quadrupole_anisotropy_kg_m2,a2_m_s2,a4_m_s2,total_rms_m_s2,higher_even_to_a2_rms_ratio
original_shaped,0.5,7.913388407021232,0.32881257467949565,0.15863566700458695,4.260509438783086e-10,8.67566925777624e-11,3.076228872542421e-10,0.20655173355377732
original_shaped,1.0,7.913388407021232,0.32881257467949565,0.15863566700458695,2.4455171849675243e-11,1.2608812762700586e-12,1.7315427777683774e-11,0.05160469174971376
original_shaped,2.0,7.913388407021232,0.32881257467949565,0.15863566700458695,1.4985576653070684e-12,1.937109484335302e-14,1.0597288231726182e-12,0.012927211976401351
baseline_rounded,0.5,7.902599779078476,0.3282965266872936,0.15813740977769286,4.247129620515225e-10,8.652249421733806e-11,3.066620391935358e-10,0.20663749922291277
baseline_rounded,1.0,7.902599779078476,0.3282965266872936,0.15813740977769286,2.4378359947690278e-11,1.2574673489070177e-12,1.726106183380927e-11,0.05162703770805853
baseline_rounded,2.0,7.902599779078476,0.3282965266872936,0.15813740977769286,1.4938508392266994e-12,1.9318620973533343e-14,1.0564005305066541e-12,0.012932813137200778
medium_rounded,0.5,7.904853521291841,0.31567005200094034,0.19174024852360316,5.180259430854158e-10,1.0881252604757681e-10,3.745094409051854e-10,0.21290328006918935
medium_rounded,1.0,7.904853521291841,0.31567005200094034,0.19174024852360316,2.959361146589241e-11,1.5703824623374112e-12,2.0955334885174222e-11,0.05310926638864926
medium_rounded,2.0,7.904853521291841,0.31567005200094034,0.19174024852360316,1.811791186413819e-12,2.4092588333114843e-14,1.281243254289916e-12,0.013298358241487148
wide_rounded,0.5,7.905854102366153,0.30680478474875256,0.1743421338747054,4.718133035407956e-10,1.0346060098611664e-10,3.417464348362304e-10,0.22202478216130395
wide_rounded,1.0,7.905854102366153,0.30680478474875256,0.1743421338747054,2.6917295827915907e-11,1.4905782666061443e-12,1.906260853625116e-11,0.05541867313183385
wide_rounded,2.0,7.905854102366153,0.30680478474875256,0.1743421338747054,1.647522856890651e-12,2.286084873674626e-14,1.1650868650094013e-12,0.013876556843393836
sphere_outer_limit,0.5,7.913030204694018,0.30934773692577033,0.19292526640179478,5.186354870252865e-10,9.769605900491667e-11,3.7333474498985027e-10,0.19063113168043938
sphere_outer_limit,1.0,7.913030204694018,0.30934773692577033,0.19292526640179478,2.974094968365799e-11,1.411534631059769e-12,2.1053734430799952e-11,0.04749608928410894
sphere_outer_limit,2.0,7.913030204694018,0.30934773692577033,0.19292526640179478,1.8224517702869846e-12,2.166279826760944e-14,1.2887590495108032e-12,0.011887173528269023
best_quadrupole,0.5,7.913390864836838,0.32472739598598094,0.2093529057115048,5.646189747736061e-10,1.1408961136296369e-10,4.0755060826100794e-10,0.2050234666915733
best_quadrupole,1.0,7.913390864836838,0.32472739598598094,0.2093529057115048,3.2300756726914526e-11,1.649708607764089e-12,2.2869907663176452e-11,0.051119606057050834
best_quadrupole,2.0,7.913390864836838,0.32472739598598094,0.2093529057115048,1.978053552723773e-12,2.5318815884983258e-14,1.3988096676406118e-12,0.012800588996875688
