harmonic,frequency_hz,peak_amplitude_m_s2,real_m_s2,imag_m_s2
1,30,6.888661426585168e-14,6.888537043061064e-14,4.1396334353834035e-16
2,60,4.718133035407956e-10,-4.718133035406321e-10,3.927348785997651e-16
3,90,3.3770162957013556e-14,3.3769162928403044e-14,2.5988701048753183e-16
4,120,1.0346060098611664e-10,-1.0346060098595432e-10,1.832701487476473e-16
5,150,1.0569717095768853e-14,1.0569337374866903e-14,8.95931963374852e-17
6,180,1.608733087800014e-11,-1.6087330877915887e-11,5.2065170795919825e-17
7,210,2.8252597565205145e-15,2.8251740348551748e-15,2.2008284678463626e-17
8,240,3.212931677912739e-12,-3.2129316778813474e-12,1.4202748678075443e-17
9,270,7.024384405346278e-16,7.024159240364482e-16,5.624268907367623e-18
10,300,4.71528803014572e-13,-4.715288030056064e-13,2.907766776551295e-18
11,330,1.6800238691701913e-16,1.6799827267214526e-16,1.1757503949957647e-18
12,360,9.183586537435111e-14,-9.183586536719043e-14,1.1468288915378259e-18
13,390,3.963455988470435e-17,3.9631990157569014e-17,4.513240571563821e-19
14,420,1.2716607737466378e-14,-1.2716607734807686e-14,2.6003669686079516e-19
15,450,9.312913023276154e-18,9.312912810227697e-18,-1.9920349980315214e-21
16,480,2.497770074186373e-15,-2.4977700739525212e-15,3.417917675556601e-20
