harmonic,frequency_hz,peak_amplitude_m_s2,real_m_s2,imag_m_s2
1,30,6.472220330236529e-15,6.472058033618804e-15,4.583462225595261e-17
2,60,2.6917295827915907e-11,-2.6917295827907102e-11,2.1771971923357688e-17
3,90,9.099502142030265e-16,9.099213803696247e-16,7.24388530906034e-18
4,120,1.4905782666061443e-12,-1.4905782666039876e-12,2.5355922639229637e-18
5,150,7.364998917729783e-17,7.364741499282474e-17,6.157683742616983e-19
6,180,5.830011244984055e-14,-5.830011244954608e-14,1.8530241975863914e-19
7,210,5.0048956423057265e-18,5.004748212648253e-18,3.84150799162346e-20
8,240,2.9186394235457457e-15,-2.918639423519504e-15,1.2376648611303204e-20
9,270,3.1458120746828817e-19,3.1457197827871684e-19,2.409683385979057e-21
10,300,1.0771841571094426e-16,-1.0771841570914117e-16,6.232586402968457e-22
11,330,1.8957487794958067e-20,1.8957103838308344e-20,1.2065471221255628e-22
12,360,5.246620288941066e-18,-5.246620288617233e-18,5.829287773530905e-23
13,390,1.125319554527747e-21,1.125259448388972e-21,1.1630718545021448e-23
14,420,1.829934249236181e-19,-1.8299342489316186e-19,3.3386506797936046e-24
15,450,6.62477789214419e-23,6.62477764036553e-23,-1.8264597831844978e-26
16,480,8.972111011938818e-21,-8.972111011387805e-21,9.943589762356847e-26
