mesh,region,points,hoop_mean_pa,hoop_min_pa,hoop_max_pa
h0.025_rpm1800,rim_45deg_pm15,225,5859354.070825298,3276748.733029335,8664181.481009994
h0.025_rpm1800,rim_135deg_pm15,215,5800489.915413616,3269895.252691634,8616526.514285157
h0.025_rpm1800,rim_225deg_pm15,215,5800252.241449794,3279127.7407470215,8600873.774421887
h0.025_rpm1800,rim_315deg_pm15,225,5858891.480707112,3277024.60386468,8659739.4738051
h0.018_rpm1800,rim_45deg_pm15,349,5938694.708428953,3318211.00813377,8942208.446302792
h0.018_rpm1800,rim_135deg_pm15,331,5888021.683428236,3235638.9557262724,8726440.22005327
h0.018_rpm1800,rim_225deg_pm15,349,5937709.188910497,3317772.017495026,8939632.690648356
h0.018_rpm1800,rim_315deg_pm15,333,5880121.299802139,3240914.8591592293,8724914.335654933
h0.013_rpm1800,rim_45deg_pm15,530,5987533.409775499,3236597.2427239064,8663311.88552386
h0.013_rpm1800,rim_135deg_pm15,535,5982023.2798653655,3233987.871355111,8660769.631201483
h0.013_rpm1800,rim_225deg_pm15,534,5973852.304292555,3283303.613654383,8639480.189335462
h0.013_rpm1800,rim_315deg_pm15,531,5977032.4781721495,3237524.274719854,8669970.90874586
