previous,current,errors,trials
-3,3,0,100000
3,3,1,100000
3,2,0,100000
2,3,1,100000
3,1,0,100000
1,3,1,100000
3,0,0,100000
0,3,0,100000
3,-1,0,100000
-1,3,0,100000
3,-2,0,100000
-2,3,0,100000
3,-3,0,100000
-3,2,0,100000
2,2,0,100000
2,1,0,100000
1,2,0,100000
2,0,0,100000
0,2,0,100000
2,-1,0,100000
-1,2,0,100000
2,-2,0,100000
-2,2,0,100000
2,-3,0,100000
-3,1,0,100000
1,1,0,100000
1,0,0,100000
0,1,0,100000
1,-1,0,100000
-1,1,0,100000
1,-2,0,100000
-2,1,0,100000
1,-3,1,100000
-3,0,0,100000
0,0,0,100000
0,-1,0,100000
-1,0,0,100000
0,-2,0,100000
-2,0,0,100000
0,-3,1,100000
-3,-1,0,100000
-1,-1,0,100000
-1,-2,0,100000
-2,-1,0,100000
-1,-3,0,100000
-3,-2,0,100000
-2,-2,0,100000
-2,-3,0,100000
-3,-3,0,100000
