segment,x_pixel,y_pixel,frequency_Hz,asd_T_sqrtHz,trace_style
low,94,153,0.00999999999999994,5.179474679231221e-10,solid
low,105,175,0.01320927923253046,2.9684345142566723e-10,solid
low,116,201,0.017448505784296155,1.5374931403548428e-10,solid
low,124,216,0.021363397911526437,1.0519086393080591e-10,solid
low,129,186,0.024244620170823135,2.247234282811053e-10,solid
low,133,190,0.026826957952797093,2.030917620904739e-10,solid
low,141,224,0.03284607774364282,8.591439458053108e-11,solid
low,149,253,0.04021569739810703,4.124626382901357e-11,solid
low,157,277,0.04923882631706709,2.247234282811053e-11,solid
low,160,280,0.05312203764625477,2.0829618638112143e-11,solid
low,165,253,0.06028645961505616,4.124626382901357e-11,solid
low,169,263,0.06670767806717107,3.202539577230474e-11,solid
low,175,293,0.07764435563198126,1.499077810792708e-11,solid
low,183,319,0.09506529014323827,7.764435563198181e-12,solid
low,191,344,0.11639493066120067,4.124626382901357e-12,solid
low,200,365,0.14616223148107138,2.4244620170823337e-12,dashed
low,210,388,0.1882457910705709,1.3547779883625921e-12,dashed
low,220,410,0.24244620170823133,7.764435563198189e-13,dashed
low,230,427,0.31225219107667845,5.050061921841303e-13,dashed
low,242,440,0.4230323952886733,3.634457212917846e-13,dashed
low,254,449,0.5731149775013965,2.894266124716755e-13,dashed
low,267,453,0.7963406789959524,2.615666785272674e-13,dashed
low,280,454,1.1065117854509208,2.550312541443144e-13,dashed
low,291,452,1.461622314810714,2.6826957952797303e-13,dashed
low,302,446,1.9306977288832377,3.122521910766807e-13,dashed
low,311,427,2.4244620170823135,5.050061921841303e-13,dashed
low,318,400,2.894266124716731,1.0000000000000012e-12,dashed
low,324,376,3.368779049014683,1.8354233977517863e-12,solid
low,329,367,3.8231169414637365,2.3048218509519412e-12,solid
low,335,366,4.449914313113363,2.3638851566381943e-12,solid
low,341,372,5.179474679231175,2.0309176209047373e-12,solid
low,347,389,6.028645961505616,1.3209279232530567e-12,solid
low,353,396,7.017038286703779,1.106511785450929e-12,solid
low,359,395,8.167476848278826,1.1348672281080425e-12,solid
low,365,387,9.506529014323826,1.3894954943731403e-12,solid
low,371,388,11.065117854509209,1.3547779883625921e-12,solid
low,379,393,13.547779883625795,1.193776641714437e-12,solid
low,387,397,16.587472649500953,1.0788648231414428e-12,solid
low,393,403,19.30697728883238,9.269001811442868e-13,solid
low,397,401,21.363397911526423,9.750143083218782e-13,solid
low,401,383,23.638851566381724,1.537493140354843e-12,solid
low,404,381,25.503125414431207,1.6173023172161342e-12,solid
low,408,396,28.219508836901262,1.106511785450929e-12,solid
low,412,414,31.225219107667847,7.017038286703831e-13,solid
low,419,423,37.27593720314915,5.587953033774363e-13,solid
low,427,428,45.63947703262144,4.923882631706747e-13,solid
low,435,439,55.879530337743226,3.727593720314942e-13,solid
low,443,448,68.41712731578615,2.968434514256671e-13,solid
low,454,459,90.3740939001813,2.2472342828110508e-13,solid
low,462,471,110.6511785450921,1.6587472649501072e-13,solid
low,474,491,149.9077810792694,1.000000000000001e-13,solid
low,482,496,183.54233977517728,8.811603465430218e-14,solid
low,493,510,242.4462017082311,6.183135888417604e-14,solid
low,503,527,312.25219107667846,4.0215697398107235e-14,solid
low,515,550,423.03239528867283,2.247234282811053e-14,solid
low,527,575,573.1149775013965,1.1937766417144359e-14,solid
high,573,574,1835.4233977517729,1.2243683313417998e-14,solid
high,576,549,1980.17373940513,2.3048218509519386e-14,solid
high,582,530,2304.8218509519197,3.7275937203149385e-14,solid
high,590,516,2821.9508836901205,5.3122037646255204e-14,solid
high,600,507,3634.4572129178196,6.670767806717158e-14,solid
high,611,503,4800.856018411613,7.381283196139172e-14,solid
high,622,502,6341.584770237385,7.570435770161459e-14,solid
high,633,504,8376.776400682857,7.19685673001153e-14,solid
high,645,511,11348.672281080342,6.028645961505666e-14,solid
high,657,522,15374.931403548288,4.563947703262191e-14,solid
high,669,536,20829.61863811197,3.202539577230471e-14,solid
high,681,549,28219.508836901205,2.3048218509519386e-14,solid
high,690,560,35436.47785578525,1.74485057842963e-14,solid
