stage,id,tones,group_bits,group_symbols,carrier_hz,packets,errors,ber,span_hz,symbol_s,torque_ratio_to_published,pruned_states,numerical_checks,max_block_s,max_latency_s
screen,M2_g1b1_spanT0.4_f18,2,1,1,18.0,4,0,0.0,0.717857142857143,0.5572139303482587,2.052583447645176,0,True,0.004214199958369136,224.00498369993875
screen,M2_g1b1_spanT0.4_f24,2,1,1,24.0,4,0,0.0,0.717857142857143,0.5572139303482587,2.052583447645176,0,True,0.004026800044812262,224.00469210004667
screen,M2_g1b1_spanT0.8_f18,2,1,1,18.0,4,0,0.0,1.435714285714286,0.5572139303482587,4.105166895290352,0,True,0.004351300012785941,224.0050638000248
screen,M2_g1b1_spanT0.8_f24,2,1,1,24.0,4,0,0.0,1.435714285714286,0.5572139303482587,4.105166895290352,0,True,0.0036471999483183026,224.00433949998114
screen,M2_g1b1_spanT1.2_f18,2,1,1,18.0,4,145,0.16183035714285715,2.1535714285714285,0.5572139303482587,6.157750342935526,0,True,0.005053900007624179,224.00580849999096
screen,M2_g1b1_spanT1.2_f24,2,1,1,24.0,4,309,0.34486607142857145,2.1535714285714285,0.5572139303482587,6.157750342935526,0,True,0.0032218999695032835,224.00397009996232
screen,M2_g1b1_spanT1.6_f18,2,1,1,18.0,4,467,0.5212053571428571,2.871428571428572,0.5572139303482587,8.210333790580703,0,True,0.004636800033040345,224.00537590001477
screen,M2_g1b1_spanT1.6_f24,2,1,1,24.0,4,485,0.5412946428571429,2.871428571428572,0.5572139303482587,8.210333790580703,0,True,0.004015000013168901,224.00468230003025
screen,M3_g2b3_spanT0.4_f18,3,3,2,18.0,4,26,0.029017857142857144,0.4892857142857144,0.8175182481751825,0.9535639892292842,0,True,0.0021210999693721533,224.00289139995584
screen,M3_g2b3_spanT0.4_f24,3,3,2,24.0,4,116,0.12946428571428573,0.4892857142857144,0.8175182481751825,0.9535639892292842,0,True,0.0025603999965824187,224.00306259997888
screen,M3_g2b3_spanT0.8_f18,3,3,2,18.0,4,0,0.0,0.9785714285714288,0.8175182481751825,1.9071279784585684,0,True,0.002627100038807839,224.00342670001555
screen,M3_g2b3_spanT0.8_f24,3,3,2,24.0,4,0,0.0,0.9785714285714288,0.8175182481751825,1.9071279784585684,0,True,0.0021659000194631517,224.002120500023
screen,M3_g2b3_spanT1.2_f18,3,3,2,18.0,4,0,0.0,1.4678571428571427,0.8175182481751825,2.8606919676878517,0,True,0.0018342999974265695,224.00254259997746
screen,M3_g2b3_spanT1.2_f24,3,3,2,24.0,4,0,0.0,1.4678571428571427,0.8175182481751825,2.8606919676878517,0,True,0.0038389000110328197,224.00212460005423
screen,M3_g2b3_spanT1.6_f18,3,3,2,18.0,4,0,0.0,1.9571428571428575,0.8175182481751825,3.814255956917137,0,True,0.003672800026834011,224.0037985999952
screen,M3_g2b3_spanT1.6_f24,3,3,2,24.0,4,0,0.0,1.9571428571428575,0.8175182481751825,3.814255956917137,0,True,0.0018410999909974635,224.0025798000279
screen,M4_g1b2_spanT0.4_f18,4,2,1,18.0,4,302,0.33705357142857145,0.37500000000000006,1.0666666666666667,0.5601280292638317,0,True,0.02226280001923442,224.01400060008746
screen,M4_g1b2_spanT0.4_f24,4,2,1,24.0,4,312,0.3482142857142857,0.37500000000000006,1.0666666666666667,0.5601280292638317,0,True,0.025512699969112873,224.01118999999017
screen,M4_g1b2_spanT0.8_f18,4,2,1,18.0,4,0,0.0,0.7500000000000001,1.0666666666666667,1.1202560585276633,0,True,0.021901900006923825,224.01556279999204
screen,M4_g1b2_spanT0.8_f24,4,2,1,24.0,4,0,0.0,0.7500000000000001,1.0666666666666667,1.1202560585276633,0,True,0.02011879999190569,224.01505119999638
screen,M4_g1b2_spanT1.2_f18,4,2,1,18.0,4,0,0.0,1.1249999999999998,1.0666666666666667,1.6803840877914948,0,True,0.008246399986092001,224.00621089997003
screen,M4_g1b2_spanT1.2_f24,4,2,1,24.0,4,0,0.0,1.1249999999999998,1.0666666666666667,1.6803840877914948,0,True,0.006538799963891506,224.0067568999948
screen,M4_g1b2_spanT1.6_f18,4,2,1,18.0,4,0,0.0,1.5000000000000002,1.0666666666666667,2.2405121170553266,0,True,0.029415299999527633,224.01573629997438
screen,M4_g1b2_spanT1.6_f24,4,2,1,24.0,4,0,0.0,1.5000000000000002,1.0666666666666667,2.2405121170553266,0,True,0.022508199966978282,224.01269790006336
screen,M5_g4b9_spanT0.4_f18,5,9,4,18.0,4,426,0.47544642857142855,0.33928571428571436,1.1789473684210525,0.4585175024132501,0,True,0.03568920004181564,224.00988820003113
screen,M5_g4b9_spanT0.4_f24,5,9,4,24.0,4,429,0.47879464285714285,0.33928571428571436,1.1789473684210525,0.4585175024132501,0,True,0.03692919999593869,224.00931160000619
screen,M5_g4b9_spanT0.8_f18,5,9,4,18.0,4,0,0.0,0.6785714285714287,1.1789473684210525,0.9170350048265002,0,True,0.0230269999592565,224.00704649992986
screen,M5_g4b9_spanT0.8_f24,5,9,4,24.0,4,0,0.0,0.6785714285714287,1.1789473684210525,0.9170350048265002,0,True,0.01947709999512881,224.0062312000082
screen,M5_g4b9_spanT1.2_f18,5,9,4,18.0,4,0,0.0,1.0178571428571428,1.1789473684210525,1.37555250723975,0,True,0.04052750003756955,224.00946480000857
screen,M5_g4b9_spanT1.2_f24,5,9,4,24.0,4,0,0.0,1.0178571428571428,1.1789473684210525,1.37555250723975,0,True,0.040974600007757545,224.00932500005
screen,M5_g4b9_spanT1.6_f18,5,9,4,18.0,4,0,0.0,1.3571428571428574,1.1789473684210525,1.8340700096530005,0,True,0.01754939998500049,224.00674609997077
screen,M5_g4b9_spanT1.6_f24,5,9,4,24.0,4,0,0.0,1.3571428571428574,1.1789473684210525,1.8340700096530005,0,True,0.01839270000346005,224.00657199998386
screen,M6_g2b5_spanT0.4_f18,6,5,2,18.0,4,407,0.45424107142857145,0.30714285714285716,1.302325581395349,0.3757557282934513,0,True,0.25056020001647994,224.06912440003362
screen,M6_g2b5_spanT0.4_f24,6,5,2,24.0,4,426,0.47544642857142855,0.30714285714285716,1.302325581395349,0.3757557282934513,0,True,0.268347300007008,224.0620070999721
screen,M6_g2b5_spanT0.8_f18,6,5,2,18.0,4,0,0.0,0.6142857142857143,1.302325581395349,0.7515114565869025,0,True,0.2587825999944471,224.0658491999493
screen,M6_g2b5_spanT0.8_f24,6,5,2,24.0,4,0,0.0,0.6142857142857143,1.302325581395349,0.7515114565869025,0,True,0.26561729999957606,224.06927199999336
screen,M6_g2b5_spanT1.2_f18,6,5,2,18.0,4,0,0.0,0.9214285714285713,1.302325581395349,1.1272671848803535,0,True,0.2512388000031933,224.07330729998648
screen,M6_g2b5_spanT1.2_f24,6,5,2,24.0,4,0,0.0,0.9214285714285713,1.302325581395349,1.1272671848803535,0,True,0.2456707000383176,224.05852220003726
screen,M6_g2b5_spanT1.6_f18,6,5,2,18.0,4,0,0.0,1.2285714285714286,1.302325581395349,1.503022913173805,0,True,0.2923624000395648,224.06242020003265
screen,M6_g2b5_spanT1.6_f24,6,5,2,24.0,4,0,0.0,1.2285714285714286,1.302325581395349,1.503022913173805,0,True,0.2856813000398688,224.06476300000213
screen,M7_g3b8_spanT0.4_f18,7,8,3,18.0,4,468,0.5223214285714286,0.28928571428571437,1.382716049382716,0.33333333333333337,0,True,0.5349959000013769,224.17086800001562
